event,node,timestamp
0,0,82475
0,0,154148
0,0,235752
0,0,531092
0,0,552066
3,0,545325
4,0,41774
4,0,331601
4,0,521850
4,0,567261
5,0,566205
5,0,593388
6,0,287004
6,0,307087
6,0,389774
6,0,419599
6,0,518011
8,0,114895
8,0,374543
8,0,420036
8,0,420091
8,0,490758
9,0,3074
9,0,76044
9,0,140349
9,0,154012
9,0,195659
9,0,234434
9,0,469052
9,0,507110
17,0,89139
17,0,256101
17,0,517271
18,0,52011
18,0,300328
18,0,379503
18,0,549761
19,0,151212
19,0,161757
19,0,180337
19,0,226511
19,0,573869
22,0,207912
23,0,341749
23,0,368131
24,0,29018
24,0,82800
24,0,514427
24,0,555469
25,0,44265
25,0,230136
25,0,272492
25,0,479335
25,0,480431
25,0,515211
25,0,543035
26,0,92207
26,0,436147
26,0,500173
26,0,506238
27,0,26406
27,0,227596
27,0,510332
27,0,542518
28,0,174108
32,0,163582
32,0,354865
32,0,491202
32,0,495321
32,0,560691
32,0,581398
33,0,119572
33,0,176423
33,0,209995
33,0,316441
33,0,546416
34,0,24993
34,0,156625
34,0,205930
34,0,386392
34,0,465002
39,0,89443
39,0,127251
39,0,235208
39,0,321454
39,0,372499
39,0,413535
39,0,531491
41,0,29004
41,0,49963
41,0,61208
41,0,110733
41,0,200973
41,0,206073
41,0,245345
41,0,356060
42,0,195781
42,0,255291
42,0,308160
42,0,501489
42,0,509677
43,0,5973
43,0,246379
43,0,258405
43,0,272815
43,0,503052
45,0,61290
45,0,113685
45,0,426660
45,0,475875
45,0,547015
45,0,596455
47,0,7485
47,0,16690
47,0,90074
47,0,136691
47,0,582555
48,0,283032
48,0,285702
48,0,297808
48,0,362346
48,0,436350
48,0,437632
48,0,483478
49,0,16534
49,0,40837
49,0,97724
49,0,127710
49,0,293247
49,0,464505
49,0,540460
49,0,547134
49,0,567501
49,0,572378
50,0,178434
50,0,354138
50,0,460593
50,0,501542
50,0,565300
52,0,101531
52,0,333935
53,0,12056
53,0,258760
53,0,338713
53,0,425006
53,0,501102
53,0,524984
55,0,67945
55,0,147740
55,0,187667
55,0,365280
56,0,101870
56,0,355744
56,0,380832
27,0,82503
42,0,235778
19,0,76046
5,0,195681
19,0,234454
55,0,234449
34,0,507132
48,0,89163
45,0,256124
17,0,52034
56,0,543052
27,0,500180
25,0,174123
8,0,205931
25,0,509704
56,0,436362
55,0,258775
27,0,425016
48,0,95024
48,0,362805
56,0,357365
27,0,464309
6,0,233175
8,0,77451
41,0,77476
41,0,77524
23,0,446352
39,0,70005
23,0,402238
48,0,121303
55,0,121221
48,0,191548
17,0,436616
56,0,602372
4,0,386452
53,0,386480
53,0,441734
4,0,519661
19,0,519755
27,0,519729
53,0,519755
19,0,533215
53,0,551503
4,0,565491
19,0,577654
41,0,539992
48,0,20632
48,0,190084
48,0,190204
33,0,395143
33,0,454578
41,0,493086
6,0,216259
45,0,216281
6,0,387681
6,0,478884
45,0,478847
27,0,364129
27,0,569951
27,0,290710
34,0,291263
23,0,230373
25,0,174954
25,0,338216
56,0,327585
41,0,459089
6,0,348025
55,0,203518
33,0,55557
25,0,169292
52,0,402243
34,0,31956
5,0,604508
50,0,75477
55,0,28163
55,0,379114
6,0,376083
27,0,592893
42,0,603707
23,0,65504
23,0,133953
24,0,156660
6,0,285660
24,0,285656
23,0,527563
17,0,597179
52,0,261908
52,0,395733
19,0,434812
17,0,432000
50,0,175205
25,0,48773
6,0,365758
55,0,36725
27,0,392816
6,0,513649
17,0,536528
28,0,600290
39,0,89812
39,0,489913
41,0,332373
41,0,458445
3,0,419457
55,0,70357
25,0,236651
25,0,812
50,0,843
24,0,77596
50,0,77620
25,0,362191
48,0,588677
5,0,236495
24,0,419810
34,0,419843
5,0,576531
28,0,295556
19,0,90128
25,0,92050
55,0,581010
48,0,86794
41,0,526087
6,0,414764
45,0,436619
27,0,441736
6,0,577663
52,0,604509
48,0,536554
48,0,89825
43,0,834
33,0,362228
56,0,362200
48,0,13593
41,0,114697
27,0,474484
55,0,519760
39,0,533179
6,0,551524
39,0,174680
41,0,558891
8,0,29053
8,0,29102
41,0,29051
23,0,174166
23,0,581466
41,0,76058
41,0,76133
23,0,509810
23,0,156695
23,0,432023
56,0,358153
33,0,530862
8,0,539092
56,0,199267
48,0,43810
41,0,571524
48,0,51254
56,0,337594
22,0,84743
39,0,84749
6,0,120833
41,0,40377
41,0,112756
39,0,21578
56,0,440029
6,0,567312
55,0,603735
41,0,217158
6,0,162745
41,0,107355
55,0,448463
33,0,154875
56,0,549154
55,0,20826
3,0,263417
55,0,455236
41,0,22482
56,0,547016
32,0,194067
32,0,473245
6,0,546249
50,0,467677
48,0,415341
23,0,160308
6,0,372973
43,0,199253
25,0,105872
50,0,41137
33,0,91509
48,0,483897
56,0,201814
55,0,499712
6,0,245748
24,0,151626
23,0,495764
50,0,185680
17,0,532560
34,0,352649
56,0,455839
55,0,90080
43,0,69163
56,0,69171
39,0,496911
6,0,306847
56,0,458116
41,0,144408
52,0,21497
41,0,586099
41,0,530940
6,0,457852
32,0,54046
23,0,573527
48,0,177717
41,0,380222
25,0,501002
23,0,335385
25,0,346084
6,0,280735
45,0,340270
41,0,90134
6,0,61589
55,0,440017
56,0,213671
25,0,470138
33,0,517228
19,0,310006
56,0,470015
56,0,355173
56,0,7605
55,0,239373
56,0,250566
48,0,533185
56,0,51267
6,0,263420
48,0,532584
33,0,501013
56,0,470151
8,0,241835
41,0,342370
8,0,140478
41,0,306582
23,0,236668
23,0,77668
41,0,77668
39,0,419977
56,0,585169
23,0,395087
23,0,395134
56,0,287097
8,0,142231
33,0,532899
8,0,578507
39,0,430964
41,0,501612
55,0,3120
55,0,596028
55,0,169378
55,0,567704
55,0,533591
19,0,547083
55,0,199273
43,0,295580
56,0,329427
6,0,56605
56,0,132643
55,0,164330
56,0,215924
41,0,322107
23,0,162215
56,0,564501
25,0,450532
23,0,241782
56,0,420102
39,0,330809
23,0,111057
23,0,59049
39,0,59072
39,0,489437
55,0,6782
23,0,77612
52,0,454401
33,0,420114
55,0,525788
55,0,139593
56,0,67318
55,0,501050
56,0,77700
41,0,41293
41,0,41292
48,0,169807
41,0,67635
39,0,96322
55,0,346099
50,0,244631
56,0,220328
55,0,105878
48,0,397222
45,0,498704
23,0,547084
52,0,466355
56,0,303809
56,0,407688
48,0,236804
41,0,285744
41,0,77702
8,0,349717
41,0,588251
56,0,60285
55,0,450565
56,0,101489
48,0,514640
56,0,71245
0,1,116820
3,1,121406
3,1,228321
4,1,121902
4,1,204767
4,1,436272
4,1,594941
6,1,74997
6,1,100597
6,1,435825
6,1,462920
6,1,465374
6,1,516957
10,1,6669
10,1,226784
10,1,392601
10,1,457742
12,1,459917
12,1,464445
13,1,149794
13,1,486052
13,1,497754
13,1,533790
14,1,51975
14,1,74563
14,1,198204
14,1,543016
15,1,88207
15,1,179895
16,1,63188
16,1,243228
16,1,273116
16,1,354633
17,1,248455
17,1,505466
17,1,591325
19,1,39683
19,1,338013
19,1,441593
19,1,554922
20,1,431603
20,1,533962
21,1,300914
21,1,443377
21,1,501108
24,1,13307
24,1,95089
24,1,273541
24,1,420562
25,1,544129
26,1,357
26,1,153923
26,1,183665
26,1,206243
26,1,209497
26,1,242737
26,1,583885
28,1,219541
36,1,102147
36,1,212573
36,1,398447
36,1,500049
43,1,437941
43,1,450150
43,1,461161
43,1,560722
46,1,40165
47,1,28680
47,1,269069
49,1,140704
49,1,210274
49,1,336604
49,1,378927
49,1,384450
52,1,86616
52,1,100466
52,1,487118
53,1,1900
53,1,21805
53,1,230329
55,1,17794
55,1,72268
55,1,119020
55,1,171808
55,1,295106
55,1,483811
56,1,53176
56,1,89616
56,1,90040
56,1,212925
56,1,311012
56,1,366739
57,1,94096
57,1,188952
57,1,191500
57,1,570435
58,1,41668
58,1,268792
58,1,584397
24,1,121440
28,1,6724
28,1,226866
19,1,543018
58,1,248483
6,1,39690
55,1,300947
21,1,95143
53,1,183745
16,1,206304
53,1,206283
13,1,242757
16,1,583969
25,1,191523
6,1,175318
6,1,401251
17,1,401237
3,1,61830
19,1,97629
6,1,33712
55,1,132815
55,1,232819
55,1,310387
19,1,28515
4,1,449741
13,1,449752
12,1,387832
13,1,411280
56,1,464416
47,1,261420
25,1,316150
17,1,520200
3,1,289449
46,1,130168
3,1,151308
46,1,370845
6,1,101093
21,1,546921
25,1,118919
47,1,90314
25,1,395700
47,1,395696
52,1,473482
6,1,119716
28,1,178877
19,1,169056
19,1,499033
24,1,206642
14,1,476195
24,1,476201
56,1,476234
14,1,483756
56,1,483753
13,1,139048
16,1,138974
12,1,183134
56,1,75085
6,1,274467
17,1,340931
3,1,344684
17,1,398539
19,1,538877
56,1,592702
24,1,119411
55,1,310790
21,1,314484
4,1,129417
19,1,129422
4,1,493009
6,1,481532
36,1,226918
55,1,183830
55,1,206351
